,Definition,How it Works,Usage,Prevents,Disadvantages,When Not to Use
Credential Management,"Systems to securely store, retrieve, and rotate user and application credentials.","Uses vaults, encryption, and policies to manage secrets and access keys.","DevOps, cloud, and enterprise environments.","Credential leakage, hardcoded secrets.",Complex setup and maintenance.,Never store secrets manually—should always use credential management.
Data Loss Prevention (DLP),Technology that monitors and controls the movement of sensitive data.,"Uses pattern matching, rules, and tagging to detect and block data exfiltration.","Email, endpoints, cloud, and data storage systems.",Unintentional leaks and insider threats.,May impact productivity; false positives.,When data classification is poorly defined.
Endpoint Detection and Response (EDR),Security solutions that monitor and analyze endpoint activity.,Collects telemetry data and uses behavioral analytics to detect threats.,"Desktops, laptops, servers in enterprises.","Advanced persistent threats, malware, lateral movement.",High resource usage; alerts can be noisy.,On unmanaged or legacy systems with limited resources.
PKI Encryption,Public Key Infrastructure enables secure data transmission and authentication using asymmetric encryption.,Uses a pair of public and private keys and digital certificates to validate identities and encrypt data.,"Securing communications, digital signatures, and certificates.","Man-in-the-middle attacks, spoofing, unauthorized access.",Complex to deploy and manage; requires certificate lifecycle management.,Not suitable for bulk data encryption due to computational overhead.
Privileged Access Management (PAM),Security strategy for controlling and monitoring access to privileged accounts.,"Grants time-limited, monitored access to critical systems; logs and audits usage.",Managing administrator and root access in enterprises.,Abuse of high-privilege accounts and insider threats.,Requires tight integration and can be difficult to enforce at scale.,Not needed for environments without elevated privilege tiers.
Role-Based Access Control (RBAC),Access control method where permissions are assigned based on roles.,Users inherit permissions through assigned roles instead of individual grants.,"Enterprise systems, databases, cloud platforms.",Over-permissioning and unauthorized access.,Rigid structure; requires frequent updates as org roles evolve.,Highly dynamic or ad hoc access environments.
SHA-256 Hashing,Cryptographic hash function that produces a 256-bit fixed output from input data.,Applies a one-way function that is collision-resistant and deterministic.,"Password storage, file integrity, digital signatures.","Tampering, hash collision attacks.",Does not protect against rainbow table attacks unless salted.,Never use alone for password security—combine with salting.
Salting,Adding random data to inputs before hashing to prevent hash matching attacks.,Appends a unique random string to each password before hashing.,Password protection and storage.,Rainbow table and hash collision attacks.,Requires proper storage of the salt value alongside the hash.,Ineffective if not truly random or reused across users.
Security Information and Event Management (SIEM) with Real-Time Log Analysis,"Centralized platform for collecting, analyzing, and correlating security events and logs.","Aggregates logs from across systems and uses rules, correlation engines, and ML to identify threats.","Enterprises for threat detection, compliance, and incident response.",Delayed breach detection and blind spots in security posture.,High setup and tuning complexity; false positives.,Small environments without the scale or expertise to manage SIEM.
Social Engineering Training,Education programs that train employees to detect and avoid manipulation tactics.,Simulates phishing and social engineering attacks to improve employee awareness.,Enterprise environments where humans are frequently targeted.,Credential theft and insider compromise via trickery.,Requires repetition; users may still fall victim.,Should always be used—complements technical controls.
Software Composition Analysis (SCA),Scans software dependencies for known vulnerabilities and licensing issues.,Analyzes open-source and third-party code to detect risks using vulnerability databases.,"CI/CD pipelines, DevSecOps, open-source applications.",Supply chain attacks and vulnerable dependency usage.,Can miss zero-days or custom vulnerabilities.,"Low-dependency, proprietary-only environments."
Supply Chain Security,"Set of controls to secure third-party software, services, and vendors.","Validates integrity, tracks provenance, and monitors third-party behavior.",Enterprises reliant on external software and services.,"Vendor-based attacks, compromised updates.",Limited visibility into vendor practices.,When all software and services are developed in-house.
Third-Party Risk Management,Assessing and controlling risks posed by external vendors and partners.,"Uses security questionnaires, audits, and continuous monitoring.","Organizations using SaaS, cloud, or external data processors.","Compliance violations, data leaks from third parties.",Dependent on vendor cooperation and transparency.,"Limited use in isolated, internal-only IT environments."
